title;content;excerpt;status;type;expires;discount_value;code;printable_url;destination_url;store;category;date;exclusive;author;store_name;store_slug;store_description;store_parent;store_url;store_aff_url;store_heading;store_is_featured;store_extra_info;store_image
18% desconto;;;publish;code;29/08/2020 12:59:00;18;FUN18;https://br.zaful.com/;https://redir.lomadee.com/v2/98c40cde53;Zaful;Moda e Acessórios;;;;;;;;;;;;;
18% OFF $49, 20% OFF $59;;;publish;sale;29/06/2020 13:59:00;20;URL CUPONADA;https://br.zaful.com/;https://redir.lomadee.com/v2/98d203df0f;Zaful;Moda e Acessórios;;;;;;;;;;;;;
$30 OFF $5,$60 OFF $10,$90 OFF $15,$120 OFF $20,$150 OFF $25,$180 OFF $30,$210 OFF $35,$240 OFF $40,$270 OFF $45,$300 OFF $50;;;publish;code;04/12/2020 12:59:00;16;CLOSET;https://br.zaful.com/;https://redir.lomadee.com/v2/98d203df0f;Zaful;Moda e Acessórios;;;;;;;;;;;;;
16% OFF R$280,18% OFF R$480,25% OFF R$680;;;publish;code;22/11/2020 12:59:00;25;BR20V;https://br.zaful.com/;https://redir.lomadee.com/v2/98d203df0f;Zaful;Moda e Acessórios;;;;;;;;;;;;;
20% OFF $168;;;publish;code;26/12/2020 12:59:00;20;VIP22;https://br.zaful.com/;https://redir.lomadee.com/v2/98d203df0f;Zaful;Moda e Acessórios;;;;;;;;;;;;;
25% de desconto em Seleção Incrível de Calçados na Zattini;;;publish;code;03/05/2020 22:59:00;25;ZATCALCADOS;https://www.zattini.com.br/;https://redir.lomadee.com/v2/98cd2dcc41;Zattini;Moda e Acessórios;;;;;;;;;;;;;
30% de desconto em Roupas Top Marcas na Zattini;;;publish;code;03/05/2020 22:59:00;30;ZATROUPAS;https://www.zattini.com.br/;https://redir.lomadee.com/v2/98354d4ed5;Zattini;Moda e Acessórios;;;;;;;;;;;;;
Até 20% de desconto em parceiros na Zattini;;;publish;code;03/05/2020 23:59:00;10;ZATMKTP;https://www.zattini.com.br/;https://redir.lomadee.com/v2/98e46e0e31;Zattini;Moda e Acessórios;;;;;;;;;;;;;
25% de desconto em Linha completa de Acessórios na Zattini;;;publish;code;03/05/2020 23:59:00;30;ZATACESSORIOS;https://www.zattini.com.br/;https://redir.lomadee.com/v2/98ae6ca1e7;Zattini;Moda e Acessórios;;;;;;;;;;;;;
25% de desconto em Produtos Shoestock na Zattini;;;publish;code;15/04/2020 23:59:00;25;ZATSHOES;https://www.zattini.com.br/;https://redir.lomadee.com/v2/98cc06ab78;Zattini;Moda e Acessórios;;;;;;;;;;;;;
"25% de desconto em TODA A LOJA na Zattini (EXCETO SELO ESPORTE e MARCAS: Maybelline; Colorama; Garnier; Elseve)";;;publish;code;03/05/2020 23:59:00;25;TOPZAT;https://www.zattini.com.br/;https://redir.lomadee.com/v2/98cbd3af4f;Zattini;Moda e Acessórios;;;;;;;;;;;;;
30% de desconto em lista de BELEZA na Zattini;;;publish;code;03/05/2020 22:59:00;25;ZATBELEZA;https://www.zattini.com.br/;https://redir.lomadee.com/v2/98af262f25;Zattini;Saúde e Beleza;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Aurea Beauty;Aurea-Beauty;As Melhores Ofertas;;https://www.aureanutrition.com.br/;;;;;https://www.lomadee.com/programas/BR/6546/logo_185x140.png
;;;;;;;;;;;;;;;Latifundio;Latifundio;As Melhores Ofertas;;https://www.latifundio.com.br/;;;;;https://www.lomadee.com/programas/BR/6438/logo_185x140.png
;;;;;;;;;;;;;;;Midnight Sun;Midnight-Sun;As Melhores Ofertas;;https://www.mdnsun.com/;;;;;https://www.lomadee.com/programas/BR/6671/logo_185x140.png
;;;;;;;;;;;;;;;Positivo Casa Inteligente;Positivo-Casa-Inteligente;As Melhores Ofertas;;https://www.positivocasainteligente.com.br/;;;;;https://www.lomadee.com/programas/BR/6422/logo_185x140.png
;;;;;;;;;;;;;;;Veni perfumaria;Veni-perfumaria;As Melhores Ofertas;;https://www.veni.com.br/;;;;;https://www.lomadee.com/programas/BR/6282/logo_185x140.png
;;;;;;;;;;;;;;;Loccitane Au Bresil;Loccitane-Au-Bresil;As Melhores Ofertas;;https://br.loccitaneaubresil.com/;;;;;https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSzlUqMdrOtHgrhVszeNSAU_6qoeY_2y4uNEGU21JpclWR5VxIm&usqp=CAU
