title,content,excerpt,status,type,expires,code,printable_url,destination_url,store,category,date,exclusive,author,store_name,store_slug,store_description,store_parent,store_url,store_aff_url,store_heading,store_is_featured,store_extra_info,store_image,category_name,category_slug,category_description,category_parent,category_icon,category_cat_image
Tanga em renda por apenas R$49!,,,,Oferta,30/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4265391&campid=44518;2040&siteid=49553,,,,,,Intimissimi,,,,,,,,,,,,,,,
Calcinha Reta de Cintura Alta por apenas R$29,,,,Oferta,30/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4265392&campid=44518;2040&siteid=49553,,,,,,Intimissimi,,,,,,,,,,,,,,,
Cueca Homem com Estampado Mapa Náutico por apenas R$45,,,,Oferta,30/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4265393&campid=44518;2040&siteid=49553,,,,,,Intimissimi,,,,,,,,,,,,,,,
Boxer com Botão em Algodão Supima somente R$55,,,,Oferta,30/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4265394&campid=44518;2040&siteid=49553,,,,,,Intimissimi,,,,,,,,,,,,,,,
Ganhe 120 em compras acima de 250 - Cupom: ZAT120 *Produtos da lista,,,,Cupom,31/12/16,ZAT120,,http://v2.afilio.com.br/tracker.php?banid=4265414&campid=44518;1785&siteid=49553,,,,,,Zattini,,,,,,,,,,,,,,,
Tem novidade na coleção de verão! Confira as estampas florais que vão tornar sua praia mais colorida!,,,,Oferta,31/12/16,,,http://v2.afilio.com.br/tracker.php?banid=4265430&campid=44518;1844&siteid=49553,,,,,,Salinas,,,,,,,,,,,,,,,
Esquenta Black Friday,,,,Oferta,07/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4266149&campid=44518;191&siteid=49553,,,,,,Walmart,,,,,,,,,,,,,,,
Ganhe 10% de desconto em produtos selecionados - Cupom: DESCONTO-BOTI *Não cumulativo com outras promoções. Válido somente para os produtos da vitrine.,,,,Cupom,30/11/16,DESCONTO-BOTI,,http://v2.afilio.com.br/tracker.php?banid=4267274&campid=44518;1255&siteid=49553,,,,,,O Boticário,,,,,,,,,,,,,,,
Ganhe 15% de desconto em produtos selecionados - Cupom: DESCONTO-BOTI *Não cumulativo com outras promoções. Válido somente para os produtos da vitrine.,,,,Cupom,30/11/16,DESCONTO-BOTI,,http://v2.afilio.com.br/tracker.php?banid=4267275&campid=44518;1255&siteid=49553,,,,,,O Boticário,,,,,,,,,,,,,,,
Ganhe 20% de desconto em produtos selecionados - Cupom: DESCONTO-BOTI *Não cumulativo com outras promoções. Válido somente para os produtos da vitrine.,,,,Cupom,30/11/16,DESCONTO-BOTI,,http://v2.afilio.com.br/tracker.php?banid=4267276&campid=44518;1255&siteid=49553,,,,,,O Boticário,,,,,,,,,,,,,,,
Mês Black Friday – Produtos com até 70% de desconto,,,,Oferta,01/12/16,,,http://v2.afilio.com.br/tracker.php?banid=4267337&campid=44518;1190&siteid=49553,,,,,,Livraria Cultura,,,,,,,,,,,,,,,
Kit com 3 Desodorantes Dove com 25%OFF!,,,,Oferta,30/11/16,,,http://v2.afilio.com.br/tracker.php?banid=4267398&campid=44518;1719&siteid=49553,,,,,,Drogaria Onofre,,,,,,,,,,,,,,,
15% de desconto em todas as compras *Exceto para as seguintes marcas: Antonio Banderas,,,,Cupom,20/11/16,AFILIADOS15,,http://v2.afilio.com.br/tracker.php?banid=4267633&campid=44518;1123&siteid=49553,,,,,,The Beauty Box,,,,,,,,,,,,,,,
Desconto Progressivo - Ganhe R$ 20,,,,Cupom,20/11/16,GANHEDESCONTO ,,http://v2.afilio.com.br/tracker.php?banid=4267635&campid=44518;1123&siteid=49553,,,,,,The Beauty Box,,,,,,,,,,,,,,,
